Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel 1,Fuel 2,Fuel 3,Operating Status,Is conversion?,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Australia,East Rockingham Waste-To-Energy power station,1,,,30,refuse (municipal and industrial wastes),,,construction,no conversion,2022,,SUEZ,,Acciona Concesiones; Hitachi Zosen Inova AG; Masdar/Tribe; John Laing,,-32.2507,115.7754,exact,,,,Western Australia,Australia and New Zealand,Oceania,L200400,G200445,,,https://gem.wiki/East_Rockingham_Waste-To-Energy_power_station
Australia,Invicta Sugar Mill power station,1,,,50,agricultural waste (solids),,,operating,no conversion,1997,,,,Wilmar,,-19.5165,147.1056,exact,,,,Queensland,Australia and New Zealand,Oceania,L200404,G200449,WRI: Aus0000056,,https://gem.wiki/Invicta_Sugar_Mill_power_station
Australia,Kwinana Waste-to-Energy Bioenergy Project,1,,"Avertas Energy, Perth Metro",36,refuse (municipal and industrial wastes),,,construction,no conversion,,,Veolia,,Avertas Energy,,-32.2098,115.7768,exact,,,,Western Australia,Australia and New Zealand,Oceania,L200401,G200446,,,https://gem.wiki/Kwinana_Waste_to_Energy_Bioenergy_Project
Australia,Maryvale Energy From Waste power station,1,,Australian Paper Energy From Waste bioenergy facility,70,refuse (municipal and industrial wastes),,,pre-construction,no conversion,2025,,Veolia,,Opal Australian Paper; SUEZ,,-38.1845,146.4477,exact,,,,Victoria,Australia and New Zealand,Oceania,L200408,G200453,WRI: Aus0000308,,https://gem.wiki/Maryvale_Energy_From_Waste_power_station
Australia,Pioneer Sugar Mill power station,1,,,68,agricultural waste (solids),,,operating,no conversion,2010,,,,Wilmar,,-19.5574,147.3308,exact,,,,Queensland,Australia and New Zealand,Oceania,L200405,G200450,WRI: Aus0000053,,https://gem.wiki/Pioneer_Sugar_Mill_power_station
Australia,REMONDIS Swanbank Waste to Energy power station,1,,,50,refuse (municipal and industrial wastes),,,cancelled,no conversion,,,,,REMONDIS,,-27.6402,152.8096,approximate,Ipswich City,,,Queensland,Australia and New Zealand,Oceania,L200399,G200444,,,https://gem.wiki/REMONDIS_Swanbank_Waste_to_Energy_power_station
Australia,Rocky Point Cogeneration power station,1,,Rocky Point Green Power,30,agricultural waste (solids),wood & other biomass (solids),,operating,no conversion,2002,,Stanwell,,National Power Partners,,-27.7378,153.3261,exact,Gold Coast City,,,Queensland,Australia and New Zealand,Oceania,L200406,G200451,WRI: Aus0000060,,https://gem.wiki/Rocky_Point_Cogeneration_power_station
Bangladesh,Gaizpur City Waste-to-Energy power station,1,,,42,refuse (municipal and industrial wastes),,,announced,no conversion,,,Canves Environmental Investment CO LTD,,Canves Environmental Investment CO LTD,,23.9999,90.4203,approximate,Gazipur,,Gazipur District,Dhaka Division,Southern Asia,Asia,L200039,G200042,,,https://gem.wiki/Gaizpur_City_Waste-to-Energy_power_station
Belgium,Awirs power station,4,,,80,wood & other biomass (solids),,,retired,conversion from coal to bioenergy,2005,2020,,,Engie SA,,50.5851,5.4180,exact,,Liège,,Liège,Western Europe,Europe,L100090,G113447,WRI: WRI1002210,,https://www.gem.wiki/Awirs_power_station
Belgium,Rodenhuize power station,1,,Max Green - Rodenhuize bioenergy plant,205,wood & other biomass (solids),,,operating,conversion from coal to bioenergy,2011,,,,Engie SA,,51.1341,3.7770,exact,Ghent,Gent,,East Flanders,Western Europe,Europe,L104712,G114630,WRI: WRI1002265,,https://www.gem.wiki/Rodenhuize_power_station
Belgium,SLECO Waste-to-Energy power station,1,,,40,wastewater and sewage sludge (solids or biogas),refuse (municipal and industrial wastes),,operating,no conversion,1999,,,,Veolia [50%]; Indaver [50%],,51.2857,4.2740,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L200294,G200329,GWCouncil: 20,,https://gem.wiki/SLECO_Waste-to-Energy_power_station
Belgium,Uvelia power station,1,,Uvelia-Intradel bioeneryg plant,30,refuse (municipal and industrial wastes),,,operating,no conversion,2009,,,,Intradel,,50.6816,5.6446,exact,,Liège,,Liège,Western Europe,Europe,L200312,G200348,GWCouncil: 24,,https://gem.wiki/Uvelia_power_station
Brazil,Agropéu power station,1,Usina sucroenergética Agropéu,,52,agricultural waste (solids),,,operating,no conversion,2016,,Agropéu - Agro Industrial de Pompéu SA,,Agropéu - Agro Industrial de Pompéu SA,,-19.2517,-44.9850,exact,Pompéu,,,Minas Gerais,Latin America and the Caribbean,Americas,L200430,G200479,ANEEL: UTE.AI.MG.032677-1.1,,https://gem.wiki/Agropéu_power_station
Brazil,Alcídia power station,1,Usina sucroenergética Alcídia,,38,agricultural waste (solids),,,operating,no conversion,2010,,Destilaria Alcídia SA,,Destilaria Alcídia SA,,-22.3497,-52.5240,exact,Teodoro Sampaio,,,São Paulo,Latin America and the Caribbean,Americas,L200431,G200480,"WRI: BRA0027913, ANEEL: UTE.AI.SP.027913-7.1",,https://gem.wiki/Alcídia_power_station
